"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","140892","100502","99471","99029","77305","63139","118","84","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","140892","108126","107317","107068","19182","17696","104","92","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track3","140892","108852","108017","107782","10549","10143","61","89","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track4","140892","109303","108472","108225","10385","9988","56","86","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track5","140892","43742","43013","42650","18604","16954","104","83","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
"track6","140892","44266","43563","43287","9161","8797","60","80","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-220"
"track7","140892","44767","43981","43863","9022","8659","51","78","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-215"
"track8","140892","39798","38928","38456","32216","26708","126","30","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track9","140892","101766","100935","100230","76770","61741","132","36","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track10","140892","104797","103954","103635","83724","69791","154","64","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
